,id,nome,microrregiao.mesorregiao.UF.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.id,regiao-imediata.regiao-intermediaria.UF.regiao.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.nome,microrregiao.id,microrregiao.nome,microrregiao.mesorregiao.id,microrregiao.mesorregiao.nome
104,1718303,Praia Norte,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
105,1718402,Presidente Kennedy,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
106,1718451,Pugmil,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
107,1718501,Recursolândia,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
108,1718550,Riachinho,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
109,1718659,Rio da Conceição,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
110,1718709,Rio dos Bois,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
111,1718758,Rio Sono,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
112,1718808,Sampaio,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
113,1718840,Sandolândia,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
114,1718865,Santa Fé do Araguaia,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
115,1718881,Santa Maria do Tocantins,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
116,1718899,Santa Rita do Tocantins,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
117,1718907,Santa Rosa do Tocantins,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
118,1719004,Santa Tereza do Tocantins,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
119,1720002,Santa Terezinha do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
120,1720101,São Bento do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
121,1720150,São Félix do Tocantins,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
122,1720200,São Miguel do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
123,1720259,São Salvador do Tocantins,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
124,1720309,São Sebastião do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
125,1720499,São Valério,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
126,1720655,Silvanópolis,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
127,1720804,Sítio Novo do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
128,1720853,Sucupira,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
129,1720903,Taguatinga,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
130,1720937,Taipas do Tocantins,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
131,1720978,Talismã,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
132,1721000,Palmas,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
133,1721109,Tocantínia,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
134,1721208,Tocantinópolis,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
135,1721257,Tupirama,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
136,1721307,Tupiratins,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
137,1722081,Wanderlândia,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
138,1722107,Xambioá,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
